,timestamp,optimal,ar,arima,ma,lr,svm,krr
0,1527532200000.0,38.0,35.0,41.0,33.0,34.0,35.0,36.0
1,1527535800000.0,36.0,35.0,42.0,32.0,36.0,36.0,36.0
2,1527539400000.0,29.0,35.0,41.0,31.0,35.0,36.0,36.0
3,1527543000000.0,39.0,38.0,42.0,35.0,34.0,35.0,36.0
4,1527546600000.0,45.0,41.0,44.0,44.0,42.0,41.0,40.0
5,1527550200000.0,36.0,43.0,45.0,50.0,44.0,43.0,43.0
6,1527553800000.0,50.0,46.0,47.0,51.0,42.0,43.0,43.0
7,1527557400000.0,48.0,49.0,48.0,46.0,50.0,50.0,50.0
8,1527561000000.0,60.0,54.0,49.0,54.0,52.0,53.0,52.0
9,1527564600000.0,67.0,57.0,51.0,58.0,63.0,61.0,60.0
10,1527568200000.0,74.0,60.0,52.0,70.0,67.0,66.0,65.0
11,1527571800000.0,63.0,60.0,52.0,73.0,72.0,70.0,69.0
12,1527575400000.0,69.0,60.0,53.0,74.0,67.0,68.0,67.0
13,1527579000000.0,76.0,61.0,53.0,67.0,71.0,70.0,69.0
14,1527582600000.0,64.0,62.0,53.0,67.0,70.0,70.0,69.0
15,1527586200000.0,63.0,62.0,53.0,67.0,68.0,68.0,67.0
16,1527589800000.0,65.0,61.0,53.0,64.0,65.0,65.0,64.0
17,1527593400000.0,44.0,59.0,53.0,56.0,59.0,60.0,60.0
18,1527597000000.0,58.0,56.0,53.0,52.0,48.0,51.0,52.0
19,1527600600000.0,52.0,53.0,52.0,51.0,52.0,51.0,52.0
20,1527604200000.0,53.0,50.0,52.0,52.0,47.0,48.0,48.0
21,1527607800000.0,44.0,48.0,52.0,56.0,50.0,48.0,47.0
22,1527611400000.0,43.0,46.0,51.0,54.0,45.0,44.0,44.0
23,1527615000000.0,42.0,43.0,51.0,48.0,38.0,39.0,39.0
